stype,name,type,nstud,startsem,semester,tuition,room,board,fees,aid,fracresidential,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
cohort,TE 202630,ug,15,202630,202630,0.00,5536.85,3005.00,650.00,0.00,1,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,TE 202730,ug,15,202730,202730,0.00,5702.95,3095.15,650.00,0.00,1,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
comment,trans. in #s above from factbook,,,,,,,,,,,,,,,,,,,,,
comment,transfers 202330,ug,115,202330,202330,20461.56,5067.00,2750.00,650.00,13750.17,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
cohort,transfers 202430,ug,115,202430,202430,21075.41,5219.01,2832.50,650.00,14141.60,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
cohort,transfers 202530,ug,115,202530,202530,21707.67,5375.58,2917.48,650.00,14435.60,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
cohort,transfers 202630,ug,115,202630,202630,22250.36,5536.85,3005.00,650.00,14573.99,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
cohort,transfers 202730,ug,115,202730,202730,22917.87,5702.95,3095.15,650.00,14782.03,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
cohort,transfers 202830,ug,115,202830,202830,23605.41,5874.04,3188.00,650.00,15225.49,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
cohort,transfers 202340,ug,50,202330,202330,20461.56,5067.00,2750.00,650.00,13750.17,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
cohort,transfers 202440,ug,50,202430,202430,21075.41,5219.01,2832.50,650.00,14141.60,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
cohort,transfers 202540,ug,50,202530,202530,21707.67,5375.58,2917.48,650.00,14435.60,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
cohort,transfers 202640,ug,50,202630,202630,22250.36,5536.85,3005.00,650.00,14573.99,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
cohort,transfers 202740,ug,50,202730,202730,22917.87,5702.95,3095.15,650.00,14782.03,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
cohort,transfers 202840,ug,50,202830,202830,23605.41,5874.04,3188.00,650.00,15225.49,0.4,0.883,0.856,0.818,0.592,0.741,0.372,0.39,0.1,0,0,0
comment ,projected MSA cohorts,,,,,,,,,,,,,,,,,,,,,
cohort,MSA 202340,MSA,7,202340,202340,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202430,MSA,20,202430,202430,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202440,MSA,7,202440,202440,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202530,MSA,20,202530,202530,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202540,MSA,7,202540,202540,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202630,MSA,20,202630,202630,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202640,MSA,7,202640,202640,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202730,MSA,20,202730,202730,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202740,MSA,7,202740,202740,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
comment,MSA 202830,MSA,20,202830,202830,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
comment,MSA 202840,MSA,7,202840,202840,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
comment,projected MBA cohorts,,,,,,,,,,,,,,,,,,,,,
cohort,MBA 202340,MBA,10,202340,202340,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202430,MBA,65,202430,202430,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202440,MBA,10,202440,202440,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202530,MBA,70,202530,202530,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202540,MBA,10,202540,202540,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202630,MBA,75,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202640,MBA,10,202640,202640,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202730,MBA,80,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202740,MBA,10,202740,202740,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
comment,MBA 202830,MBA,80,202830,202830,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
comment,MBA 202840,MBA,10,202840,202840,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
comment,CJ - start 202430,,,,,,,,,,,,,,,,,,,,,
cohort,UG1-H 202430,ug,15,202430,202430,20973.10,5219.01,2832.50,650.00,13548.62,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
cohort,UG1-H 202530,ug,15,202530,202530,21497.43,5375.58,2917.48,650.00,13672.36,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
cohort,UG1-H 202630,ug,15,202630,202630,22034.86,5536.85,3005.00,650.00,13793.82,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
cohort,UG1-H 202730,ug,15,202730,202730,22585.73,5702.95,3095.15,650.00,13912.81,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
comment,Theater - start 202530,,,,,,,,,,,,,,,,,,,,,
cohort,UG1-H 202530,ug,5,202530,202530,21497.43,5375.58,2917.48,650.00,13672.36,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
cohort,UG1-H 202630,ug,5,202630,202630,22034.86,5536.85,3005.00,650.00,13793.82,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
cohort,UG1-H 202730,ug,5,202730,202730,22585.73,5702.95,3095.15,650.00,13912.81,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
comment,Game Studies - start 202530,,,,,,,,,,,,,,,,,,,,,
cohort,UG1-L 202530,ug,10,202530,202530,21497.43,5375.58,2917.48,650.00,13672.36,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
cohort,UG1-L 202630,ug,10,202630,202630,22034.86,5536.85,3005.00,650.00,13793.82,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
cohort,UG1-L 202730,ug,10,202730,202730,22585.73,5702.95,3095.15,650.00,13912.81,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
comment,? SoLA - start 202630,,,,,,,,,,,,,,,,,,,,,
cohort,UG1-L 202630,ug,10,202630,202630,22034.86,5536.85,3005.00,650.00,13793.82,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
cohort,UG1-L 202730,ug,10,202730,202730,22585.73,5702.95,3095.15,650.00,13912.81,0.83,0.951,0.916,0.962,0.961,0.972,0.971,0.97,0.06,0.58,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,Bus. Ana. 202530,grad,15,202530,202530,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
cohort,Bus. Ana. 202630,grad,20,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
cohort,Bus. Ana. 202730,grad,25,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,MS Soc. Work 202630,grad,10,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
cohort,MS Soc. Work 202730,grad,15,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,MS Nurse Ed. 202630,grad,10,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
cohort,MS Nurse Ed. 202730,grad,15,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,Cyber. Cert. 202330,cert,5,202330,202330,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Cyber. Cert. 202430,cert,10,202430,202430,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Cyber. Cert. 202530,cert,15,202530,202530,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Cyber. Cert. 202630,cert,15,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Cyber. Cert. 202730,cert,15,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,Mktg. Cert. 202330,cert,5,202330,202330,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Mktg. Cert. 202430,cert,10,202430,202430,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Mtkg. Cert. 202530,cert,15,202530,202530,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Mtkg. Cert. 202630,cert,15,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Mtkg. Cert. 202730,cert,15,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,Str. Man. Cert. 202330,cert,5,202330,202330,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Str. Man. Cert. 202430,cert,10,202430,202430,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Str. Man. Cert. 202530,cert,15,202530,202530,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Str. Man. Cert. 202630,cert,15,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,Str. Man. Cert. 202730,cert,15,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
