stype,name,type,nstud,startsem,semester,tuition,room,board,fees,aid,fracresidential,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
comment,,,fall22 factbook,,,,,,1025.00,,,,,,,,,,,,,
cohort,Full time 201930,ug,2,201930,202330,18338.00,5067.00,2750.00,650.00,12396.49,0.83,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,Full time 202030,ug,845,202030,202330,19027.50,5067.00,2750.00,650.00,12824.54,0.83,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,Full time 202130,ug,646,202130,202330,19600.00,5067.00,2750.00,650.00,12779.20,0.83,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,Full time 202230,ug,890,202230,202330,19962.50,5067.00,2750.00,650.00,13334.95,0.83,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,Full time 202330,ug,843,202330,202330,20461.56,5067.00,2750.00,650.00,13750.17,0.83,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,TE 202030,ug,15,202030,202330,19027.50,5067.00,2750.00,650.00,12824.54,1,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,TE 202130,ug,15,202130,202330,19600.00,5067.00,2750.00,650.00,12779.20,1,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,TE 202230,ug,15,202230,202330,19962.50,5067.00,2750.00,650.00,13334.95,1,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,TE 202330,ug,15,202330,202330,20461.56,5067.00,2750.00,650.00,13750.17,1,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
comment,,,3226,,,,,,,,,,,,,,,,,,,
cohort,MSA 202130,MSA,4,202130,202330,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202230,MSA,15,202230,202330,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202330,MSA,20,202330,202330,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,MBA 202040,MBA,1,202040,202330,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202130,MBA,10,202130,202330,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202230,MBA,35,202230,202330,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202330,MBA,45,202330,202330,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
comment,future cohorts,,,,,,,,,,,,,,,,,,,,,
cohort,Full time 202430,ug,794,202430,202430,21075.41,5219.01,2832.50,650.00,14002.50,0.83,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,Full time 202530,ug,825,202530,202530,21707.67,5375.58,2917.48,650.00,14218.52,0.83,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,Full time 202630,ug,825,202630,202630,22358.90,5536.85,3005.00,650.00,14421.49,0.83,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,Full time 202730,ug,825,202730,202730,23029.67,5702.95,3095.15,650.00,14623.84,0.83,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,TE 202430,ug,15,202430,202430,0.00,5219.01,2832.50,650.00,0.00,1,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
cohort,TE 202530,ug,15,202530,202530,0.00,5375.58,2917.48,650.00,0.00,1,0.920,0.920,0.944,0.940,0.944,0.940,0.94,0.06,0.58,0,0
