stype,name,type,nstud,startsem,semester,tuition,room,board,fees,aid,fracresidential,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
cohort,UG1-L 202630,ug,36,202630,202630,22034.86,6158.64,3245.97,1025.00,13793.82,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,UG1-L 202730,ug,40,202730,202730,22585.73,6343.40,3343.35,1025.00,13912.81,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
comment,fourth UG - start 202630,,,,,,,,,,,,,,,,,,,,,
cohort,UG1-L 202630,ug,26,202630,202630,22034.86,6158.64,3245.97,1025.00,13793.82,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,UG1-L 202730,ug,36,202730,202730,22585.73,6343.40,3343.35,1025.00,13912.81,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,GR1-H 202530,grad,20,202530,202530,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
cohort,GR1-H 202630,grad,40,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
cohort,GR1-H 202730,grad,60,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,GR2-H 202630,grad,20,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
cohort,GR2-H 202730,grad,40,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,GR3-L 202730,grad,20,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.8,0.8,0.6,0.1,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,CERT1-H 202530,cert,10,202530,202530,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,CERT1-H 202630,cert,20,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,CERT1-H 202730,cert,20,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,CERT2-H 202630,cert,10,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
cohort,CERT2-H 202730,cert,20,202730,202730,900.00,0.00,0.00,150.00,0.00,0,0.9,0.1,0,0,0,0,0,0,0,0,0
