stype,name,type,nstud,startsem,semester,tuition,room,board,fees,aid,fracresidential,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,r12
cohort,Full time 201730,ug,3,201730,202130,19600.00,5312.50,2800.00,650.00,10954.00,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 201830,ug,799,201830,202130,19600.00,5312.50,2800.00,650.00,11224.00,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 201930,ug,683,201930,202130,19600.00,5312.50,2800.00,650.00,12362.00,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202030,ug,768,202030,202130,19600.00,5312.50,2800.00,650.00,12791.00,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202130,ug,870,202130,202130,19600.00,5312.50,2800.00,650.00,12740.00,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,MSA 202040,MSA,7,202040,202130,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202130,MSA,47,202130,202130,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
comment,,,,,,,,,,,,,,,,,,,,,,
cohort,MBA 202030,MBA,10,202030,202130,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202040,MBA,10,202040,202130,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202130,MBA,60,202130,202130,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
comment,future cohorts,,,,,,,,,,,,,,,,,,,,,
cohort,Full time 202230,ug,1050,202230,202230,19962.50,5471.87,2884.00,650.00,13295.03,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,Full time 202330,ug,872,202330,202330,20461.56,5636.03,2970.52,650.00,13627.40,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,transfers 202330,ug,130,202330,202330,20461.56,5805.11,3059.64,650.00,10547.00,0.4,0.9,0.86,0.97,0.44,0.71,0.21,0.67,0.5,0,0,0
cohort,Full time 202430,ug,832,202430,202430,20973.10,5805.11,3059.64,650.00,13968.08,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,transfers 202430,ug,130,202430,202430,20973.10,5979.26,3151.42,650.00,10863.00,0.4,0.9,0.86,0.97,0.44,0.71,0.21,0.67,0.5,0,0,0
cohort,Full time 202530,ug,783,202530,202530,21497.43,5979.26,3151.42,650.00,14317.29,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,transfers 202530,ug,130,202530,202530,21497.43,6158.64,3245.97,650.00,11189.00,0.4,0.9,0.86,0.97,0.44,0.71,0.21,0.67,0.5,0,0,0
cohort,Full time 202630,ug,787,202630,202630,22034.86,6158.64,3245.97,650.00,14675.22,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,transfers 202630,ug,130,202630,202630,22034.86,6343.40,3343.35,650.00,11524.00,0.4,0.9,0.86,0.97,0.44,0.71,0.21,0.67,0.5,0,0,0
comment ,projected MSA cohorts,,,,,,,,,,,,,,,,,,,,,
cohort,MSA 202140,MSA,10,202140,202140,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202230,MSA,47,202230,202230,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202240,MSA,10,202240,202240,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202330,MSA,47,202330,202330,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202340,MSA,10,202340,202340,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202430,MSA,47,202430,202430,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202440,MSA,10,202440,202440,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202530,MSA,47,202530,202530,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202540,MSA,10,202540,202540,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202630,MSA,47,202630,202630,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
cohort,MSA 202640,MSA,10,202640,202640,1306.00,0.00,0.00,150.00,0.00,0,0.72,0.1,0,0,0,0,0,0,0,0,0
comment,projected MBA cohorts,,,,,,,,,,,,,,,,,,,,,
cohort,MBA 202140,MBA,10,202140,202140,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202230,MBA,60,202230,202230,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202240,MBA,10,202240,202240,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202330,MBA,60,202330,202330,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202340,MBA,10,202340,202340,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202430,MBA,60,202430,202430,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202440,MBA,10,202440,202440,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202530,MBA,60,202530,202530,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202540,MBA,10,202540,202540,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202630,MBA,60,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
cohort,MBA 202640,MBA,10,202640,202640,900.00,0.00,0.00,150.00,0.00,0,0.77,0.25,0.1,0,0,0,0,0,0,0,0
comment,new grad program,,,,,,,,,,,,,,,,,,,,,
cohort,Grad 202230,grad,0,202230,202230,900.00,0.00,0.00,150.00,0.00,0,0.95,0.8,0.1,0,0,0,0,0,0,0,0
cohort,Grad 202330,grad,0,202330,202330,900.00,0.00,0.00,150.00,0.00,0,0.95,0.8,0.1,0,0,0,0,0,0,0,0
cohort,Grad 202430,grad,20,202430,202430,900.00,0.00,0.00,150.00,0.00,0,0.95,0.8,0.1,0,0,0,0,0,0,0,0
cohort,Grad 202530,grad,40,202530,202530,900.00,0.00,0.00,150.00,0.00,0,0.95,0.8,0.1,0,0,0,0,0,0,0,0
cohort,Grad 202630,grad,60,202630,202630,900.00,0.00,0.00,150.00,0.00,0,0.95,0.8,0.1,0,0,0,0,0,0,0,0
comment,new ug program; const disc rate = 0.666,,,,,,,,,,,,,,,,,,,,,
cohort,UG1 202230,ug,0,202230,202230,"19,962.50",5471.87,2884.00,650.00,13295.03,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,UG1 202330,ug,0,202330,202330,"20,461.56",5636.03,2970.52,650.00,13627.40,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,UG1 202430,ug,20,202430,202430,20973.10,5805.11,3059.64,650.00,13968.08,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,UG1 202530,ug,40,202530,202530,21497.43,5979.26,3151.42,650.00,14317.29,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
cohort,UG1 202630,ug,60,202630,202630,22034.86,6158.64,3245.97,650.00,14675.22,0.83,0.95,0.93,0.96,0.89,0.98,1.07,0.97,0.06,0.58,0,0
